Serovar	O	H1	H2	Probability
Karamoja	R	z41	1,2	0
II	R	z42	1,5,7	0
II	R	z42	1,6	0
II	R	z6	1,5	0
V	R	z81	-	0
II	R	z81	z6	0
II	S	-	1,6	0
Burundi	S	a	-	0
II	S	b	1,5	0
Vaugirard	S	b	1,6	0
VI	S	b	1,7	0
Sica	S	b	e,n,z15	0
Vietnam	S	b	z6	0
Lonestar	S	c	-	0
IIIb	S	c	e,n,x,z15	0
II	S	c	z6	0
Egusi	S	d	1,5	0
II	S	d	z6	0
II	S	g,m,s,t	z6	0
II	S	g,t	-	0
IIIa	S	g,z51	-	0
Samaru	S	i	1,5	0
Verona	S	i	1,6	0
Ferlo	S	k	1,6	0
II	S	k	1,6	0
IIIb	S	k	z35	0
II	S	k	z6	0
II	S	l,z13,z28	e,n,x,z15	0
Leatherhead	S	m,t	1,6	0
Lubumbashi	S	r	1,5	0
Konongo	S	r	1,7	0
II	S	z	1,5	0
Sally	S	z	1,6	0
II	S	z10	1,2	0
Leipzig	S	z10	1,5	0
Landala	S	z10	1,6	0
Inpraw	S	z10	e,n,x	0
II	S	z10	e,n,x,z15	0
II	S	z10	z6	0
IIIa	S	z29	-	0
IV	S	z29	-	0
Lodz	S	z29	-	0
Ahoutoue	S	z35	1,6	0
IIIa	S	z36	-	0
IV	S	z36	-	0
Offa	S	z38	-	0.00277
IIIa	S	z4,z23	-	0
IV	S	z4,z23	-	0
Bofflens	S	z4,z23	1,7	0
Waycross	S	z4,z23	e,n,z15	0.00277
IIIa	S	z4,z23,z32	-	0
IIIa	S	z4,z24	-	0
Ipswich	S	z4,z24	1,5	0
IIIa	S	z4,z32	-	0
IV	S	z52	-	0
Faji	T	a	e,n,z15	0
II	T	b	1,5	0
Orbe	T	b	1,6	0
II	T	b	e,n,x,z15	0
Tomegbe	T	b	e,n,z15	0.00277
Frederiksberg	T	b	l,w	0
Egusitoo	T	b	z6	0
II	T	b	z6	0
Antwerpen	T	c	e,n,z15	0
Kampala	T	c	z6	0
II	T	d	z6	0
II	T	e,n,x	1,6	0
II	T	g,t	-	0
IIIb	T	g,z51	-	0
IV	T	g,z51	-	0
IV	T	g,z51	1,5	0
Borromea	T	i	1,6	0
Kaneshie	T	i	l,w	0
Middlesbrough	T	i	z6	0
Haferbreite	T	k	1,6	0
IIIb	T	k	e,n,x,z15	0
IIIb	T	k	z	0
IIIb	T	k	z35	0
Gwale	T	k	z6	0
IIIb	T	l,v	1,5,7	0
II	T	l,v	e,n,x,z15	0
IIIb	T	l,v	e,n,x,z15	0
Coogee	T	l,v	e,n,z15	0
IIIb	T	l,v	z	0
IIIb	T	l,v	z53	0
II	T	l,w	e,n,x	0
Parakou	T	l,w	z35	0
II	T	l,z13,z28	z6	0
Waral	T	m,t	-	0
II	T	m,t	e,n,x,z15	0
II	T	r	-	0
IIIb	T	r	-	0
Sipane	T	r	e,n,z15	0
Brive	T	r	l,w	0
IIIb	T	r	z	0
IIIb	T	r	z53	0
Spalentor	T	y	e,n,z15	0
Harvestehude	T	y	z6	0
II	T	z	1,5	0
Ursenbach	T	z	1,6	0
II	T	z	e,n,x,z15	0
Melbourne	T	z	e,n,z15	0
II	T	z	z6	0
II	T	z10	1,2	0
II	T	z10	e,n,x,z15	0
IIIb	T	z10	e,n,x,z15	0
IIIb	T	z10	z	0
IIIb	T	z10	z35	0
II	T	z10	z6	0
Loenga	T	z10	z6	0
IIIb	T	z10	z67	0
II	T	z29	-	0
Djama	T	z29	1,5	0
Kahla	T	z35	1,6	0
Hennekamp	T	z35	e,n,z15	0
Tema	T	z35	z6	0
IV	T	z36	-	0
Weslaco	T	z36	-	0
Vogan	T	z38	z6	0
IIIa	T	z4,z23	-	0
Gera	T	z4,z23	1,6	0
Broc	T	z4,z23	e,n,z15	0
IIIa	T	z4,z24	-	0
IV	T	z4,z24	-	0
Toricada	T	z4,z24	-	0
Taset	T	z41	-	0
IIIb	T	z52	z	0
IIIb	T	z57	1,5	0
II	T	z6	1,6	0
Graz	U	a	1,2	0
II	U	a	1,5	0
Berkeley	U	a	1,5	0.00277
II	U	a	z6	0
Niederoderwitz	U	b	-	0
Ede	U	b	e,n,z15	0
II	U	b	z42	0
Montreal	U	c	1,5	0
Orleans	U	d	1,5	0
II	U	d	e,n,x,z15	0
II	U	d	z39	0
II	U	d	z42	0
II	U	e,n,x,z15	1,5,7	0
II	U	e,n,x,z15	1,6	0
Milwaukee	U	f,g,t	-	0.00555
II	U	g,m,s,t	z42	0
IIIb	U	g,t	-	0
II	U	g,t	1,5	0
IIIa	U	g,z51	-	0
IIIa	U	g,z51	-	0
II	U	g,z62	e,n,x	0
Mbao	U	i	1,2	0
Voulte	U	i	e,n,x	0
Thetford	U	k	1,2	0.00277
Ahuza	U	k	1,5	0
IIIb	U	k	z	0
IIIb	U	l,v	z53	0
Epalinges	U	l,w	z44	0
Sudan	U	l,z13	-	0
II	U	l,z13,z28	1,5	0
IIIb	U	r	e,n,x,z15	0
IIIb	U	r	z	0
IIIb	U	r	z53	0
Farcha	U	y	1,2	0
Kingabwa	U	y	1,5	0.01942
II	U	z	1,5	0
Ogbete	U	z	1,5	0
Arusha	U	z	e,n,z15	0
Adana	U	z10	1,5	0
IIIa	U	z29	-	0
IV	U	z29	-	0
Makiling	U	z29	-	0
II	U	z29	e,n,x	0
II	U	z29	z42	0
Ahepe	U	z35	1,6	0
IIIa	U	z36	-	0
IV	U	z36,z38	-	0
Irigny	U	z38	-	0
II	U	z4,z23	-	0
IIIa	U	z4,z23	-	0
IV	U	z4,z23	-	0
Farmingdale	U	z4,z23	1,2	0
IIIa	U	z4,z24	-	0
IV	U	z4,z24	-	0
IV	U	z4,z32	-	0
II	U	z42	1,5,7	0
IIIb	U	z52	z53	0
IV	V	a	-	0
Niakhar	V	a	1,5	0
Tiergarten	V	a	e,n,x	0
Niarembe	V	a	l,w	0
Shahalam	V	b	1,6	0
Elbeuf	V	b	e,n,x	0
Sedgwick	V	b	e,n,z15	0
Madigan	V	c	1,5	0
Quebec	V	c	e,n,z15	0
Bobo	V	d	1,5	0
Kermel	V	d	e,n,x	0
Fischerstrasse	V	d	e,n,z15	0
Palamaner	V	d	z35	0
II	V	e,n,x	1,6	0
Vleuten	V	f,g	-	0
Gamaba	V	g,m,s	1,6	0
Splott	V	g,s,t	1,7	0
IIIb	V	g,t	1,5	0
II	V	g,t	z42	0
IV	V	g,z51	-	0
Maricopa	V	g,z51	-	0
Maritzburg	V	i	e,n,z15	0
Lawra	V	k	e,n,z15	0
Malika	V	l,z28	1,5	0
Muguga	V	m,t	-	0
II	V	m,t	z42	0
V	V	r	-	0
Albertbanjul	V	r	1,5	0
Brefet	V	r	e,n,z15	0
Brackenridge	V	z	1,5	0
Bolama	V	z	e,n,x	0
Uhlenhorst	V	z	l,w	0
Guinea	V	z10	1,7	0
Llobregat	V	z10	e,n,x	0
IV	V	z29	-	0
Zinder	V	z29	-	0
II	V	z29	e,n,x	0
IV	V	z36,z38	-	0
Koketime	V	z38	-	0
V	V	z39	-	0
II	V	z39	e,n,x,z15	0
II	V	z4,z23	-	0
IIIa	V	z4,z23	-	0
IV	V	z4,z23	-	0
Kua	V	z4,z23	-	0.00277
Ploufragan	V	z4,z23	e,n,z15	0
IIIa	V	z4,z23,z32	-	0
Christiansborg	V	z4,z24	-	0
IIIa	V	z4,z24	-	0
IV	V	z4,z24	-	0
IIIa	V	z4,z32	-	0
IV	V	z4,z32	-	0
VI	W	a	e,n,x	0
Meekatharra	W	a	e,n,z15	0
II	W	a	z10	0
Riverside	W	b	1,5	0
Fomeco	W	b	e,n,z15	0
Deversoir	W	c	e,n,x	0
Dugbe	W	d	1,6	0.00277
Karachi	W	d	e,n,x	0
Warmsen	W	d	e,n,z15	0
Suelldorf	W	f,g	-	0.00277
Tornow	W	g,m,s,t	-	0.00277
II	W	g,m,s,t	1,5	0
II	W	g,m,s,t	e,n,x	0
II	W	g,m,t	e,n,x,z15	0
Binningen	W	g,s,t	-	0
IIIa	W	g,z51	-	0
IV	W	g,z51	-	0
Verviers	W	k	1,5	0
Casablanca	W	k	1,7	0
Cairns	W	k	e,n,z15	0
Imo	W	l,v	e,n,z15	0
Apapa	W	m,t	-	0.01387
II	W	m,t	1,5	0
Kofandoka	W	r	e,n,z15	0
II	W	z	1,5	0
Yopougon	W	z	e,n,z15	0
II	W	z	z39	0
Aprad	W	z10	-	0
IIIa	W	z29	-	0
Jodhpur	W	z29	-	0
II	W	z29	1,5	0
II	W	z29	e,n,x	0
II	W	z29	z42	0
Lattenkamp	W	z35	1,5	0
Balcones	W	z36	-	0
IIIa	W	z36	-	0
IV	W	z36,z38	-	0
IIIa	W	z4,z23	-	0
IV	W	z4,z23	-	0
IIIa	W	z4,z24	-	0
Transvaal	W	z4,z24	-	0
IIIa	W	z4,z32	-	0
II	X	a	1,5	0
II	X	a	e,n,x,z15	0
Wenatchee	X	b	1,2	0
II	X	b	1,5	0
II	X	b	e,n,x,z15	0
II	X	b	z6	0
Sya	X	b	z6	0
IIIb	X	c	1,5,7	0
Kodjovi	X	c	1,6	0
IIIb	X	c	e,n,x,z15	0
IIIb	X	c	z	0
IIIb	X	c	z35	0
II	X	d	1,5	0
Stellingen	X	d	e,n,x	0
II	X	d	e,n,x,z15	0
II	X	d	z39	0
II	X	e,n,x,z15	1,6	0
Sljeme	X	f,g	-	0
Luke	X	g,m	-	0.00277
II	X	g,t	e,n,x	0
Carswell	X	g,z51	-	0
IIIa	X	g,z51	-	0
IIIb	X	i	e,n,x,z15	0
Bergen	X	i	e,n,z15	0
IIIb	X	i	z	0
IIIb	X	i	z35	0
IIIb	X	i	z53	0
Staoueli	X	k	1,2	0
Bootle	X	k	1,5	0
IIIb	X	k	1,5,7	0
Dahomey	X	k	1,6	0
IIIb	X	k	e,n,x,z15	0
Lyon	X	k	e,n,z15	0
IIIb	X	k	z	0
IIIb	X	k	z35	0
IIIb	X	k	z53	0
IV	X	l,v	-	0
IIIb	X	l,v	1,5,7	0
Drac	X	l,v	e,n,x	0.00277
IIIb	X	l,v	e,n,x,z15	0
IIIb	X	l,v	z	0
IIIb	X	l,v	z35	0
IIIb	X	l,v	z53	0
IIIb	X	l,v	z57	0
Teshie	X	l,z13,z28	e,n,z15	0
Mesbit	X	m,t	e,n,z15	0
Dapango	X	r	1,2	0
IIIb	X	r	1,5,7	0
IIIb	X	r	e,n,x,z15	0
IIIb	X	r	z	0
IIIb	X	r	z53	0
IIIb	X	r,i	z35	0
Moualine	X	y	1,6	0
Blitta	X	y	e,n,x	0
Mountpleasant	X	z	1,5	0
Kaolack	X	z	1,6	0
II	X	z	e,n,x,z15	0
II	X	z	z6	0
IIIb	X	z10	1,5,7	0
Namoda	X	z10	e,n,z15	0
IIIb	X	z10	z	0
IIIb	X	z10	z35	0
Ekpoui	X	z29	-	0
IIIa	X	z29	-	0
II	X	z29	e,n,x,z15	0
Bingerville	X	z35	e,n,z15	0
Yombesali	X	z35	z6	0
IV	X	z36	-	0
Alexanderplatz	X	z38	-	0
IIIa	X	z4,z23	-	0
Fehrbellin	X	z4,z23	1,6	0
Tabligbo	X	z4,z23	e,n,z15	0
Binche	X	z4,z23	l,w	0
Bere	X	z4,z23	z6	0
Tamberma	X	z4,z24	-	0
Quinhon	X	z44	-	0
IIIb	X	z52	1,5	0
IIIb	X	z52	1,5,7	0
IIIb	X	z52	e,n,x,z15	0
IIIb	X	z52	z	0
IIIb	X	z52	z35	0
IIIb	X	z53	-	0
II	X	z6	1,6	0
Hisingen	Y	a	1,5,7	0
II	Y	a	z39	0
II	Y	a	z6	0
V	Y	b	-	0
II	Y	b	e,n,x,z15	0
II	Y	b	z6	0
IIIb	Y	c	z	0
Buckeye	Y	d	-	0
II	Y	d	1,2	0
II	Y	d	z6	0
Fitzroy	Y	e,h	1,5	0
II	Y	e,n,x,z15	z6	0
II	Y	g,m,t	-	0
IIIa	Y	g,z51	-	0
IV	Y	g,z51	-	0
V	Y	i	-	0
IIIb	Y	i	z	0
IIIb	Y	i	z35	0
IIIb	Y	i	z53	0
IIIb	Y	i	z61	0
IIIb	Y	k	1,5,7	0
II	Y	k	e,n,x,z15	0
IIIb	Y	k	e,n,x,z15	0
Dahlem	Y	k	e,n,z15	0
IIIb	Y	k	z	0
IIIb	Y	k	z35	0
II	Y	k	z39	0
IIIb	Y	k	z53	0
Australia	Y	l,v	1,5	0
IIIb	Y	l,v	1,5,7	0
IIIb	Y	l,v	z	0
IIIb	Y	l,w	1,5,7	0
IIIb	Y	r	e,n,x,z15	0
IIIb	Y	r	z	0
II	Y	z	1,5	0
Toucra	Y	z	1,5	0.00277
IIIb	Y	z	1,5,7	0
II	Y	z10	1,5	0
VI	Y	z10	1,5	0
II	Y	z10	1,6	0
Isaszeg	Y	z10	e,n,x	0
IIIb	Y	z10	e,n,x,z15	0
IIIb	Y	z10	z	0
II	Y	z29	-	0
IIIa	Y	z29	-	0
IV	Y	z29	-	0
V	Y	z35	-	0
IIIb	Y	z35	z52	0
IIIa	Y	z36	-	0
IV	Y	z36,z38	-	0
V	Y	z39	-	0
II	Y	z39	z81	0
IIIa	Y	z4,z23	-	0
IV	Y	z4,z23	-	0
IIIa	Y	z4,z23,z32	-	0
Djakarta	Y	z4,z24	-	0
IIIa	Y	z4,z24	-	0
IIIb	Y	z4,z24	-	0
IIIa	Y	z4,z32	-	0
IV	Y	z4,z32	-	0
V	Y	z41	-	0
IIIb	Y	z52	e,n,x,z15	0
IIIb	Y	z52	z	0
V	Y	z65	-	0
V	Y	z81	-	0
IV	Z	a	-	0
IV	Z	b	-	0
Rochdale	Z	b	e,n,x	0
II	Z	b	z6	0
IV	Z	d	-	0
Hemingford	Z	d	1,5	0
II	Z	e,n,x	1,7	0
II	Z	g,m,s,t	1,5	0
IV	Z	g,z51	-	0
II	Z	g,z62	e,n,x	0
IIIb	Z	i	1,5,7	0
IIIb	Z	i	e,n,x,z15	0
IIIb	Z	i	z	0
IIIb	Z	i	z53	0
IIIb	Z	k	1,5,7	0
II	Z	k	e,n,x	0
IIIb	Z	k	e,n,x,z15	0
IIIb	Z	k	z	0
IIIb	Z	k	z35	0
IIIb	Z	k	z53	0
II	Z	k	z6	0
Fass	Z	l,v	1,2	0
IIIb	Z	l,v	e,n,x,z15	0
IIIb	Z	l,v	z	0
IIIb	Z	l,v	z35	0
IIIb	Z	l,v	z57	0
VI	Z	l,v	z67	0
II	Z	l,w	e,n,x,z15	0
II	Z	l,z28	z42	0
II	Z	m,t	z6	0
IIIb	Z	r	1,5,7	0
IIIb	Z	r	e,n,x,z15	0
IIIb	Z	r	z	0
IIIb	Z	r	z35	0
IIIb	Z	r	z53	0
Dougi	Z	y	1,6	0
II	Z	z	e,n,x	0
IIIb	Z	z	z52	0
IIIb	Z	z10	z	0
IIIb	Z	z10	z53	0
II	Z	z10	z6	0
IIIa	Z	z29	-	0
Ivorycoast	Z	z29	-	0
IIIa	Z	z36	-	0
IIIa	Z	z4,z23	-	0
IV	Z	z4,z23	-	0
IIIa	Z	z4,z23,z32	-	0
IIIa	Z	z4,z24	-	0
IV	Z	z4,z24	-	0
IIIa	Z	z4,z32	-	0
IV	Z	z4,z32	-	0
II	Z	z42	1,7	0
IIIb	Z	z52	1,5,7	0
IIIb	Z	z52	z35	0
IIIb	Z	z52	z53	0
