Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Zaiman	O:9 (D1)	9,12	D	l,v	e,n,x	D:l,v:e,n,x	9,12:l,v:e,n,x	I
Ackwepe	O:9,46 (D2)	9,46	D	l,w	-	D:l,w:-	9,46:l,w:-	I
Assinie	O:3,10 (E1)	3,10	E	l,w	z6	E:l,w:z6	3,10:l,w:z6	I
Ayton	O:4 (B)	1,4,12,27	B	l,w	z6	B:l,w:z6	1,4,12,27:l,w:z6	I
Blancmesnil	O:4 (B)	4,12	B	l,w	e,n,z15	B:l,w:e,n,z15	4,12:l,w:e,n,z15	I
Brooklyn	O:16 (l)	16	I	l,w	e,n,x	I:l,w:e,n,x	16:l,w:e,n,x	I
Colorado	O:7 (C1)	6,7	C1	l,w	1,5	C1:l,w:1,5	6,7:l,w:1,5	I
Epalinges	O:43 (U)	43	U	l,w	-	U:l,w:-	43:l,w:-	I
Epalinges	O:43 (U)	43	U	l,w	z44	U:l,w:z44	43:l,w:z44	I
Essingen	O:16 (l)	16	I	l,w	z6	I:l,w:z6	16:l,w:z6	I
Fayed	O:8 (C2-C3)	6,8	C2-C3	l,w	1,2	C2-C3:l,w:1,2	6,8:l,w:1,2	I
Fulda	O:1,3,19 (E4)	1,3,19	E	l,w	1,5	E:l,w:1,5	1,3,19:l,w:1,5	I
Gabon	O:7 (C1)	6,7	C1	l,w	1,2	C1:l,w:1,2	6,7:l,w:1,2	I
Glidji	O:11 (F)	11	F	l,w	1,5	F:l,w:1,5	11:l,w:1,5	I
II 4,12:l,w:e,n,x	O:4 (B)	4,12	B	l,w	e,n,x	B:l,w:e,n,x	4,12:l,w:e,n,x	II
II 6,7:l,w:1,5,7	O:7 (C1)	6,7	C1	l,w	1,5,7	C1:l,w:1,5,7	6,7:l,w:1,5,7	II
II 6,7:l,w:z42	O:7 (C1)	6,7	C1	l,w	z42	C1:l,w:z42	6,7:l,w:z42	II
II 6,8:l,w:z6	O:8 (C2-C3)	6,8	C2-C3	l,w	z6	C2-C3:l,w:z6	6,8:l,w:z6	II
II 1,9,12:l,w:e,n,x	O:9 (D1)	1,9,12	D	l,w	e,n,x	D:l,w:e,n,x	1,9,12:l,w:e,n,x	II
II 13,23:l,w:e,n,x	O:13 (G)	13,23	G	l,w	e,n,x	G:l,w:e,n,x	13,23:l,w:e,n,x	II
II 16:l,w:z6	O:16 (l)	16	I	l,w	z6	I:l,w:z6	16:l,w:z6	II
II 1,42:l,w:e,n,x	O:42 (T)	1,42	T	l,w	e,n,x	T:l,w:e,n,x	1,42:l,w:e,n,x	II
II 50:l,w:e,n,x,z15	O:50 (Z)	50	Z	l,w	e,n,x,z15	Z:l,w:e,n,x,z15	50:l,w:e,n,x,z15	II
IIIb 48:l,w:1,5,7	O:48 (Y)1	48	Y	l,w	1,5,7	Y:l,w:1,5,7	48:l,w:1,5,7	IIIb
Keve	O:21 (L)	21	L	l,w	-	L:l,w:-	21:l,w:-	I
Langeveld	O:7 (C1)	6,7	C1	l,w	e,n,z15	C1:l,w:e,n,z15	6,7:l,w:e,n,z15	I
Lomnava	O:16 (l)	16	I	l,w	e,n,z15	I:l,w:e,n,z15	16:l,w:e,n,z15	I
Marsabit	O:52	52	O-52	l,w	1,5	O-52:l,w:1,5	52:l,w:1,5	I
Mono	O:4 (B)	4,12	B	l,w	1,5	B:l,w:1,5	4,12:l,w:1,5	I
Overchurch	O:40 (R) 	1,40	R	l,w	-	R:l,w:-	1,40:l,w:-	I
Overchurch	O:40 (R) 	1,40	R	l,w	1,2	R:l,w:1,2	1,40:l,w:1,2	I
Parakou	O:42 (T)	1,42	T	l,w	z35	T:l,w:z35	1,42:l,w:z35	I
Ramsey	O:28 (M)	28	M	l,w	1,6	M:l,w:1,6	28:l,w:1,6	I
Togo	O:4 (B)	4,12	B	l,w	1,6	B:l,w:1,6	4,12:l,w:1,6	I
Toulon	O:18 (K)	18	K	l,w	e,n,z15	K:l,w:e,n,z15	18:l,w:e,n,z15	I
Victoria	O:9 (D1)	1,9,12	D	l,w	1,5	D:l,w:1,5	1,9,12:l,w:1,5	I
Westeinde	O:16 (l)	16	I	l,w	1,6	I:l,w:1,6	16:l,w:1,6	I
Zigong	O:16 (l)	16	I	l,w	1,5	I:l,w:1,5	16:l,w:1,5	I
Freiburg	O:3,10 (E1)	3,10	E	l,z13	1,2	E:l,z13:1,2	3,10:l,z13:1,2	I
Itami	O:9 (D1)	9,12	D	l,z13	1,5	D:l,z13:1,5	9,12:l,z13:1,5	I
Kenya	O:7 (C1)	6,7	C1	l,z13	e,n,x	C1:l,z13:e,n,x	6,7:l,z13:e,n,x	I
Mandera	O:16 (l)	16	I	l,z13	e,n,z15	I:l,z13:e,n,z15	16:l,z13:e,n,z15	I
Miyazaki	O:9 (D1)	9,12	D	l,z13	1,7	D:l,z13:1,7	9,12:l,z13:1,7	I
Napoli	O:9 (D1)	1,9,12	D	l,z13	e,n,x	D:l,z13:e,n,x	1,9,12:l,z13:e,n,x	I
Nessziona	O:7 (C1)	6,7	C1	l,z13	1,5	C1:l,z13:1,5	6,7:l,z13:1,5	I
Sudan	O:43 (U)	43	U	l,z13	-	U:l,z13:-	43:l,z13:-	I
Taiping	O:13 (G)	13,22	G	l,z13	e,n,z15	G:l,z13:e,n,z15	13,22:l,z13:e,n,z15	I
Tours	O:11 (F)	11	F	l,z13	1,2	F:l,z13:1,2	11:l,z13:1,2	I
Uganda	O:3,10 (E1)	3,{10}{15}	E	l,z13	1,5	E:l,z13:1,5	3,{10}{15}:l,z13:1,5	I
Westerstede	O:1,3,19 (E4)	1,3,19	E	l,z13	1,2	E:l,z13:1,2	1,3,19:l,z13:1,2	I
Winterthur	O:1,3,19 (E4)	1,3,19	E	l,z13	1,6	E:l,z13:1,6	1,3,19:l,z13:1,6	I
Breukelen	O:8 (C2-C3)	6,8	C2-C3	l,z13,[z28]	e,n,z15	C2-C3:l,z13,z28:e,n,z15	6,8:l,z13,[z28]:e,n,z15	I
Haduna	O:4 (B)	4,12	B	l,z13,[z28]	1,6	B:l,z13,z28:1,6	4,12:l,z13,[z28]:1,6	I
Neukoelln	O:7 (C1)	6,7	C1	l,z13,[z28]	e,n,z15	C1:l,z13,z28:e,n,z15	6,7:l,z13,[z28]:e,n,z15	I
Ablogame	O:16 (l)	16	I	l,z13,z28	z6	I:l,z13,z28:z6	16:l,z13,z28:z6	I
Battle	O:16 (l)	16	I	l,z13,z28	1,6	I:l,z13,z28:1,6	16:l,z13,z28:1,6	I
Bedford	O:1,3,19 (E4)	1,3,19	E	l,z13,z28	e,n,z15	E:l,z13,z28:e,n,z15	1,3,19:l,z13,z28:e,n,z15	I
