Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
II 6,14:m,t:e,n,x	O:6,14 (H)	6,14	H	m,t	e,n,x	H:m,t:e,n,x	6,14:m,t:e,n,x	II
II 16:m,t:-	O:16 (l)	16	I	m,t	-	I:m,t:-	16:m,t:-	II
II 16:m,t:e,n,x	O:16 (l)	16	I	m,t	e,n,x	I:m,t:e,n,x	16:m,t:e,n,x	II
II 16:m,t:z42	O:16 (l)	16	I	m,t	z42	I:m,t:z42	16:m,t:z42	II
II 17:m,t:-	O:17 (J)	17	J	m,t	-	J:m,t:-	17:m,t:-	II
II 18:m,t:1,5	O:18 (K)	18	K	m,t	1,5	K:m,t:1,5	18:m,t:1,5	II
II 21:m,t:-	O:21 (L)	21	L	m,t	-	L:m,t:-	21:m,t:-	II
II 28:m,t:-	O:28 (M)	28	M	m,t	-	M:m,t:-	28:m,t:-	II
II 28:m,t:e,n,x	O:28 (M)	28	M	m,t	e,n,x	M:m,t:e,n,x	28:m,t:e,n,x	II
II 28:m,t:z39	O:28 (M)	28	M	m,t	z39	M:m,t:z39	28:m,t:z39	II
II 30:m,t:-	O:30 (N)	30	N	m,t	-	N:m,t:-	30:m,t:-	II
II 35:m,t:-	O:35 (O)	35	O	m,t	-	O:m,t:-	35:m,t:-	II
II 39:m,t:-	O:39 (Q)	39	Q	m,t	-	Q:m,t:-	39:m,t:-	II
II 39:m,t:e,n,x	O:39 (Q)	39	Q	m,t	e,n,x	Q:m,t:e,n,x	39:m,t:e,n,x	II
II 40:m,t:e,n,x	O:40 (R) 	40	R	m,t	e,n,x	R:m,t:e,n,x	40:m,t:e,n,x	II
II 40:m,t:z39	O:40 (R) 	40	R	m,t	z39	R:m,t:z39	40:m,t:z39	II
II 1,40:m,t:z42	O:40 (R) 	1,40	R	m,t	z42	R:m,t:z42	1,40:m,t:z42	II
II 42:m,t:-	O:42 (T)	42	T	m,t	-	T:m,t:-	42:m,t:-	II
II 42:m,t:e,n,x,z15	O:42 (T)	42	T	m,t	e,n,x,z15	T:m,t:e,n,x,z15	42:m,t:e,n,x,z15	II
II 1,44:m,t:z42	O:44 (V)	1,44	V	m,t	z42	V:m,t:z42	1,44:m,t:z42	II
II 45:m,t:1,5	O:45 (W)	45	W	m,t	1,5	W:m,t:1,5	45:m,t:1,5	II
II 50:m,t:z6	O:50 (Z)	50	Z	m,t	z6	Z:m,t:z6	50:m,t:z6	II
IV 21:m,t:-	O:21 (L)	21	L	m,t	-	L:m,t:-	21:m,t:-	IV
IV 40:m,t:-	O:40 (R) 	40	R	m,t	-	R:m,t:-	40:m,t:-	IV
Kaitaan	O:6,14 (H)	1,6,14,25	H	m,t	-	H:m,t:-	1,6,14,25:m,t:-	I
Kintambo	O:13 (G)	1,13,23	G	m,t	-	G:m,t:-	1,13,23:m,t:-	I
Langenhorn	O:18 (K)	18	K	m,t	-	K:m,t:-	18:m,t:-	I
Leatherhead	O:41 (S)	41	S	m,t	1,6	S:m,t:1,6	41:m,t:1,6	I
Madras	O:4 (B)	4,[5],12	B	m,t	e,n,z15	B:m,t:e,n,z15	4,[5],12:m,t:e,n,z15	I
Mesbit	O:47 (X)	47	X	m,t	e,n,z15	X:m,t:e,n,z15	47:m,t:e,n,z15	I
Moers	O:11 (F)	11	F	m,t	-	F:m,t:-	11:m,t:-	I
Monschaui	O:35 (O)	35	O	m,t	-	O:m,t:-	35:m,t:-	I
Morbihan	O:16 (l)	16	I	m,t	e,n,z15	I:m,t:e,n,z15	16:m,t:e,n,z15	I
Morillons	O:28 (M)	28	M	m,t	1,6	M:m,t:1,6	28:m,t:1,6	I
Mpouto	O:16 (l)	16	I	m,t	-	I:m,t:-	16:m,t:-	I
Muguga	O:44 (V)	44	V	m,t	-	V:m,t:-	44:m,t:-	I
Newholland	O:54	4,12,54	O-54	m,t	-	O-54:m,t:-	4,12,54:m,t:-	I
Oakey	O:7 (C1)	6,7	C1	m,t	z64	C1:m,t:z64	6,7:m,t:z64	I
Oranienburg	O:7 (C1)	6,7,14	C1	m,t	-	C1:m,t:-	6,7,14:m,t:-	I
Oranienburg	O:7 (C1)	6,7,14	C1	m,t	z57	C1:m,t:z57	6,7,14:m,t:z57	I
Othmarschen	O:7 (C1)	6,7,14	C1	m,t	-	C1:m,t:-	6,7,14:m,t:-	I
Othmarschen	O:7 (C1)	6,7,14	C1	m,t	z57	C1:m,t:z57	6,7,14:m,t:z57	I
Pensacola	O:9 (D1)	1,9,12	D	m,t	-	D:m,t:-	1,9,12:m,t:-	I
Pensacola	O:9 (D1)	1,9,12	D	m,t	1,2	D:m,t:1,2	1,9,12:m,t:1,2	I
Rothenburgsort	O:38 (P)	38	P	m,t	-	P:m,t:-	38:m,t:-	I
Sangalkam	O:9,46 (D2)	9,46	D	m,t	-	D:m,t:-	9,46:m,t:-	I
Southbank	O:3,10 (E1)	3,{10}{15}{15,34}	E	m,t	-	E:m,t:-	3,{10}{15}{15,34}:m,t:-	I
Southbank	O:3,10 (E1)	3,{10}{15}{15,34}	E	m,t	1,6	E:m,t:1,6	3,{10}{15}{15,34}:m,t:1,6	I
Vinohrady	O:28 (M)	28	M	m,t	-	M:m,t:-	28:m,t:-	I
Vinohrady	O:28 (M)	28	M	m,t	e,n,z15	M:m,t:e,n,z15	28:m,t:e,n,z15	I
Waral	O:42 (T)	1,42	T	m,t	-	T:m,t:-	1,42:m,t:-	I
Washington	O:13 (G)	13,22	G	m,t	-	G:m,t:-	13,22:m,t:-	I
Winston	O:7 (C1)	6,7	C1	m,t	1,6	C1:m,t:1,6	6,7:m,t:1,6	I
Yokoe	O:8 (C2-C3)	8,20	C2-C3	m,t	-	C2-C3:m,t:-	8,20:m,t:-	I
Adjame	O:13 (G)	13,23	G	r	1,6	G:r:1,6	13,23:r:1,6	I
Akanji	O:8 (C2-C3)	6,8	C2-C3	r	1,7	C2-C3:r:1,7	6,8:r:1,7	I
Albertbanjul	O:44 (V)	44	V	r	1,5	V:r:1,5	44:r:1,5	I
Bassadji	O:28 (M)	28	M	r	1,6	M:r:1,6	28:r:1,6	I
Bochum	O:4 (B)	1,4,[5],12	B	r	l,w	B:r:l,w	1,4,[5],12:r:l,w	I
Bradford	O:4 (B)	4,12,[27]	B	r	1,5	B:r:1,5	4,12,[27]:r:1,5	I
Brefet	O:44 (V)	44	V	r	e,n,z15	V:r:e,n,z15	44:r:e,n,z15	I
Brive	O:42 (T)	1,42	T	r	l,w	T:r:l,w	1,42:r:l,w	I
Brunflo	O:16 (l)	16	I	r	1,7	I:r:1,7	16:r:1,7	I
Bsilla	O:8 (C2-C3)	6,8	C2-C3	r	1,2	C2-C3:r:1,2	6,8:r:1,2	I
Camberwell	O:9 (D1)	9,12	D	r	1,7	D:r:1,7	9,12:r:1,7	I
Campinense	O:9 (D1)	9,12	D	r	e,n,z15	D:r:e,n,z15	9,12:r:e,n,z15	I
Clanvillian	O:11 (F)	11	F	r	e,n,z15	F:r:e,n,z15	11:r:e,n,z15	I
Colindale	O:7 (C1)	6,7	C1	r	1,7	C1:r:1,7	6,7:r:1,7	I
Crossness	O:67	67	O-67	r	1,2	O-67:r:1,2	67:r:1,2	I
Czernyring	O:54	54	O-54	r	1,5	O-54:r:1,5	54:r:1,5	I
Dapango	O:47 (X)	47	X	r	1,2	X:r:1,2	47:r:1,2	I
Deckstein	O:9,46 (D2)	9,46	D	r	1,7	D:r:1,7	9,46:r:1,7	I
Elisabethville	O:3,10 (E1)	3,{10}{15}	E	r	1,7	E:r:1,7	3,{10}{15}:r:1,7	I
Emmastad	O:38 (P)	38	P	r	1,6	P:r:1,6	38:r:1,6	I
Fairfield	O:28 (M)	28	M	r	l,w	M:r:l,w	28:r:l,w	I
Gege	O:30 (N)	30	N	r	1,5	N:r:1,5	30:r:1,5	I
Goldcoast	O:8 (C2-C3)	6,8	C2-C3	r	l,w	C2-C3:r:l,w	6,8:r:l,w	I
Grampian	O:7 (C1)	6,7	C1	r	l,w	C1:r:l,w	6,7:r:l,w	I
Grandhaven	O:30 (N)	30	N	r	1,2	N:r:1,2	30:r:1,2	I
Heidelberg	O:4 (B)	1,4,[5],12	B	r	1,2	B:r:1,2	1,4,[5],12:r:1,2	I
Hindmarsh	O:8 (C2-C3)	8,20	C2-C3	r	1,5	C2-C3:r:1,5	8,20:r:1,5	I
II 28:r:e,n,z15	O:28 (M)	28	M	r	e,n,z15	M:r:e,n,z15	28:r:e,n,z15	II
II 42:r:-	O:42 (T)	42	T	r	-	T:r:-	42:r:-	II
IIIb 8:r:z	O:8 (C2-C3)	8	C2-C3	r	z	C2-C3:r:z	8:r:z	IIIb
IIIb (6),14:r:z	O:6,14 (H)	(6),14	H	r	z	H:r:z	(6),14:r:z	IIIb
IIIb 17:r:z	O:17 (J)	17	J	r	z	J:r:z	17:r:z	IIIb
IIIb 18:r:z	O:18 (K)	18	K	r	z	K:r:z	18:r:z	IIIb
IIIb 21:r:z	O:21 (L)	21	L	r	z	L:r:z	21:r:z	IIIb
IIIb 53:r:z	O:53	53	O-53	r	z	O-53:r:z	53:r:z	IIIb
IIIb 53:r:z35	O:53	53	O-53	r	z35	O-53:r:z35	53:r:z35	IIIb
IIIb 53:r:z68	O:53	53	O-53	r	z68	O-53:r:z68	53:r:z68	IIIb
IIIb 58:r:e,n,x,z15	O:58	58	O-58	r	e,n,x,z15	O-58:r:e,n,x,z15	58:r:e,n,x,z15	IIIb
IIIb 58:r:z	O:58	58	O-58	r	z	O-58:r:z	58:r:z	IIIb
IIIb 58:r:z53	O:58	58	O-58	r	z53	O-58:r:z53	58:r:z53	IIIb
IIIb 59:r:z35	O:59	59	O-59	r	z35	O-59:r:z35	59:r:z35	IIIb
IIIb 60:r:e,n,x,z15	O:60	60	O-60	r	e,n,x,z15	O-60:r:e,n,x,z15	60:r:e,n,x,z15	IIIb
IIIb 60:r:z	O:60	60	O-60	r	z	O-60:r:z	60:r:z	IIIb
IIIb 60:r:z35	O:60	60	O-60	r	z35	O-60:r:z35	60:r:z35	IIIb
IIIb 60:r:z53	O:60	60	O-60	r	z53	O-60:r:z53	60:r:z53	IIIb
IIIb 61:r:1,5,7	O:61	61	O-61	r	1,5,7	O-61:r:1,5,7	61:r:1,5,7	IIIb
IIIb 61:r:z	O:61	61	O-61	r	z	O-61:r:z	61:r:z	IIIb
IIIb 61:r:z35	O:61	61	O-61	r	z35	O-61:r:z35	61:r:z35	IIIb
IIIb 61:r:z53	O:61	61	O-61	r	z53	O-61:r:z53	61:r:z53	IIIb
IIIb 65:r:z35	O:65	65	O-65	r	z35	O-65:r:z35	65:r:z35	IIIb
IIIb 35:r:e,n,x,z15	O:35 (O)	35	O	r	e,n,x,z15	O:r:e,n,x,z15	35:r:e,n,x,z15	IIIb
IIIb 35:r:z	O:35 (O)	35	O	r	z	O:r:z	35:r:z	IIIb
IIIb 35:r:z35	O:35 (O)	35	O	r	z35	O:r:z35	35:r:z35	IIIb
IIIb 35:r:z61	O:35 (O)	35	O	r	z61	O:r:z61	35:r:z61	IIIb
IIIb 38:r:1,5,7	O:38 (P)	38	P	r	1,5,7	P:r:1,5,7	38:r:1,5,7	IIIb
IIIb 38:r:e,n,x,z15	O:38 (P)	38	P	r	e,n,x,z15	P:r:e,n,x,z15	38:r:e,n,x,z15	IIIb
IIIb 38:r:z	O:38 (P)	38	P	r	z	P:r:z	38:r:z	IIIb
IIIb 38:r:z35	O:38 (P)	38	P	r	z35	P:r:z35	38:r:z35	IIIb
IIIb 40:r:z53	O:40 (R) 	40	R	r	z53	R:r:z53	40:r:z53	IIIb
IIIb 42:r:-	O:42 (T)	42	T	r	-	T:r:-	42:r:-	IIIb
IIIb 42:r:z	O:42 (T)	42	T	r	z	T:r:z	42:r:z	IIIb
IIIb 42:r:z53	O:42 (T)	42	T	r	z53	T:r:z53	42:r:z53	IIIb
IIIb 43:r:e,n,x,z15	O:43 (U)	43	U	r	e,n,x,z15	U:r:e,n,x,z15	43:r:e,n,x,z15	IIIb
IIIb 43:r:z	O:43 (U)	43	U	r	z	U:r:z	43:r:z	IIIb
IIIb 43:r:z53	O:43 (U)	43	U	r	z53	U:r:z53	43:r:z53	IIIb
IIIb 47:r:1,5,7	O:47 (X)	47	X	r	1,5,7	X:r:1,5,7	47:r:1,5,7	IIIb
IIIb 47:r:e,n,x,z15	O:47 (X)	47	X	r	e,n,x,z15	X:r:e,n,x,z15	47:r:e,n,x,z15	IIIb
IIIb 47:r:z	O:47 (X)	47	X	r	z	X:r:z	47:r:z	IIIb
IIIb 47:r:z53	O:47 (X)	47	X	r	z53	X:r:z53	47:r:z53	IIIb
IIIb 48:r:e,n,x,z15	O:48 (Y)1	48	Y	r	e,n,x,z15	Y:r:e,n,x,z15	48:r:e,n,x,z15	IIIb
IIIb 48:r:z	O:48 (Y)1	48	Y	r	z	Y:r:z	48:r:z	IIIb
IIIb 50:r:1,5,(7)	O:50 (Z)	50	Z	r	1,5,(7)	Z:r:1,5,(7)	50:r:1,5,(7)	IIIb
IIIb 50:r:e,n,x,z15	O:50 (Z)	50	Z	r	e,n,x,z15	Z:r:e,n,x,z15	50:r:e,n,x,z15	IIIb
IIIb 50:r:z	O:50 (Z)	50	Z	r	z	Z:r:z	50:r:z	IIIb
IIIb 50:r:z35	O:50 (Z)	50	Z	r	z35	Z:r:z35	50:r:z35	IIIb
IIIb 50:r:z53	O:50 (Z)	50	Z	r	z53	Z:r:z53	50:r:z53	IIIb
Infantis	O:7 (C1)	6,7,14	C1	r	1,5	C1:r:1,5	6,7,14:r:1,5	I
Ivory	O:16 (l)	16	I	r	1,6	I:r:1,6	16:r:1,6	I
Jamaica	O:9 (D1)	9,12	D	r	1,5	D:r:1,5	9,12:r:1,5	I
Kibusi	O:28 (M)	28	M	r	e,n,x	M:r:e,n,x	28:r:e,n,x	I
Kofandoka	O:45 (W)	45	W	r	e,n,z15	W:r:e,n,z15	45:r:e,n,z15	I
Konongo	O:41 (S)	41	S	r	1,7	S:r:1,7	41:r:1,7	I
Lehrte	O:16 (l)	16	I	r	z6	I:r:z6	16:r:z6	I
Lindi	O:38 (P)	38	P	r	1,5	P:r:1,5	38:r:1,5	I
Linton	O:13 (G)	13,23	G	r	e,n,z15	G:r:e,n,z15	13,23:r:e,n,z15	I
Lode	O:17 (J)	17	J	r	1,2	J:r:1,2	17:r:1,2	I
Lome	O:9 (D1)	9,12	D	r	z6	D:r:z6	9,12:r:z6	I
Lubumbashi	O:41 (S)	41	S	r	1,5	S:r:1,5	41:r:1,5	I
Massakory	O:35 (O)	35	O	r	l,w	O:r:l,w	35:r:l,w	I
Mountmagnet	O:21 (L)	21	L	r	-	L:r:-	21:r:-	I
Nigeria	O:7 (C1)	6,7	C1	r	1,6	C1:r:1,6	6,7:r:1,6	I
Noya	O:8 (C2-C3)	8	C2-C3	r	1,7	C2-C3:r:1,7	8:r:1,7	I
Papuana	O:7 (C1)	6,7	C1	r	e,n,z15	C1:r:e,n,z15	6,7:r:e,n,z15	I
Quincy	O:30 (N)	30	N	r	1,6	N:r:1,6	30:r:1,6	I
Remo	O:4 (B)	1,4,12,27	B	r	1,7	B:r:1,7	1,4,12,27:r:1,7	I
Rubislaw	O:11 (F)	11	F	r	e,n,x	F:r:e,n,x	11:r:e,n,x	I
Senegal	O:11 (F)	11	F	r	1,5	F:r:1,5	11:r:1,5	I
Shoreditch	O:9,46 (D2)	9,46	D	r	e,n,z15	D:r:e,n,z15	9,46:r:e,n,z15	I
Simi	O:3,10 (E1)	3,10	E	r	e,n,z15	E:r:e,n,z15	3,10:r:e,n,z15	I
Sipane	O:42 (T)	1,42	T	r	e,n,z15	T:r:e,n,z15	1,42:r:e,n,z15	I
Sokode	O:9,46 (D2)	9,46	D	r	z6	D:r:z6	9,46:r:z6	I
Southampton	O:4 (B)	4,12,27	B	r	z6	B:r:z6	4,12,27:r:z6	I
Tennenlohe	O:18 (K)	18	K	r	1,5	K:r:1,5	18:r:1,5	I
Ughelli	O:3,10 (E1)	3,10	E	r	1,5	E:r:1,5	3,10:r:1,5	I
V 13,22:r:-	O:13 (G)	13,22	G	r	-	G:r:-	13,22:r:-	V
V 44:r:-	O:44 (V)	44	V	r	-	V:r:-	44:r:-	V
Virchow	O:7 (C1)	6,7,14	C1	r	1,2	C1:r:1,2	6,7,14:r:1,2	I
Volta	O:11 (F)	11	F	r	l,z13,z28	F:r:l,z13,z28	11:r:l,z13,z28	I
Weltevreden	O:3,10 (E1)	3,{10}{15}	E	r	z6	E:r:z6	3,{10}{15}:r:z6	I
Winneba	O:4 (B)	4,12	B	r	1,6	B:r:1,6	4,12:r:1,6	I
Yalding	O:1,3,19 (E4)	1,3,19	E	r	e,n,z15	E:r:e,n,z15	1,3,19:r:e,n,z15	I
Yellowknife	O:9 (D1)	9,12	D	r	e,n,x	D:r:e,n,x	9,12:r:e,n,x	I
Altona	O:8 (C2-C3)	8,20	C2-C3	r	z6	C2-C3:r,[i]:z6	8,20:r,[i]:z6	I
Altona	O:8 (C2-C3)	8,20	C2-C3	r,[i]	z6	C2-C3:r,[i]:z6	8,20:r,[i]:z6	I
Bovismorbificans	O:8 (C2-C3)	6,8,20	C2-C3	r	1,5	C2-C3:r:1,5	6,8,20:r,[i]:1,5	I
Bovismorbificans	O:8 (C2-C3)	6,8,20	C2-C3	r,[i]	1,5	C2-C3:r,[i]:1,5	6,8,20:r,[i]:1,5	I
Brikama	O:8 (C2-C3)	8,20	C2-C3	r,[i]	l,w	C2-C3:r,[i]:l,w	8,20:r,[i]:l,w	I
Chicago	O:28 (M)	28	M	r,[i]	1,5	M:r,[i]:1,5	28:r,[i]:1,5	I
Chicago	O:28 (M)	28	M	r	1,5	M:r,[i]:1,5	28:r,[i]:1,5	I
Drogana	O:4 (B)	1,4,12,27	B	r,[i]	e,n,z15	B:r,[i]:e,n,z15	1,4,12,27:r,[i]:e,n,z15	I
Hidalgo	O:8 (C2-C3)	6,8	C2-C3	r,[i]	e,n,z15	C2-C3:r,[i]:e,n,z15	6,8:r,[i]:e,n,z15	I
IIIb 47:r,[i]:z35	O:47 (X)	47	X	r,[i]	z35	X:r,[i]:z35	47:r,[i]:z35	IIIb
Sanktgeorg	O:28 (M)	28	M	r,[i]	e,n,z15	M:r,[i]:e,n,z15	28:r,[i]:e,n,z15	I
Surat	O:6,14 (H)	[1],6,14,[25]	H	r,[i]	e,n,z15	H:r,[i]:e,n,z15	[1],6,14,[25]:r,[i]:e,n,z15	I
Africana	O:4 (B)	4,12	B	r,i	l,w	B:r,i:l,w	4,12:r,i:l,w	I
Annedal	O:16 (l)	16	I	r,i	e,n,x	I:r,i:e,n,x	16:r,i:e,n,x	I
Banco	O:28 (M)	28	M	r,i	1,7	M:r,i:1,7	28:r,i:1,7	I
Cocody	O:8 (C2-C3)	8,20	C2-C3	r,i	e,n,z15	C2-C3:r,i:e,n,z15	8,20:r,i:e,n,z15	I
Dumfries	O:3,10 (E1)	3,10	E	r,i	1,6	E:r,i:1,6	3,10:r,i:1,6	I
Euston	O:11 (F)	11	F	r,i	e,n,x,z15	F:r,i:e,n,x,z15	11:r,i:e,n,x,z15	I
Fareham	O:1,3,19 (E4)	1,3,19	E	r,i	l,w	E:r,i:l,w	1,3,19:r,i:l,w	I
Istoria	O:6,14 (H)	1,6,14,25	H	r,i	1,5	H:r,i:1,5	1,6,14,25:r,i:1,5	I
Lutetia	O:51	51	O-51	r,i	l,z13,z28	O-51:r,i:l,z13,z28	51:r,i:l,z13,z28	I
Rovaniemi	O:16 (l)	16	I	r,i	1,5	I:r,i:1,5	16:r,i:1,5	I
Seegefeld	O:3,10 (E1)	3,10	E	r,i	1,2	E:r,i:1,2	3,10:r,i:1,2	I
Zwickau	O:16 (l)	16	I	r,i	e,n,z15	I:r,i:e,n,z15	16:r,i:e,n,z15	I
Akuafo	O:16 (l)	16	I	y	1,6	I:y:1,6	16:y:1,6	I
Alagbon	O:8 (C2-C3)	8,20	C2-C3	y	1,7	C2-C3:y:1,7	8,20:y:1,7	I
Amager	O:3,10 (E1)	3,{10}{15}	E	y	1,2	E:y:1,2	3,{10}{15}:y:1,2	I
Anfo	O:39 (Q)	39	Q	y	1,2	Q:y:1,2	39:y:1,2	I
Avignon	O:16 (l)	16	I	y	e,n,z15	I:y:e,n,z15	16:y:e,n,z15	I
Baguirmi	O:30 (N)	30	N	y	e,n,x	N:y:e,n,x	30:y:e,n,x	I
Ball	O:4 (B)	1,4,[5],12,[27]	B	y	e,n,x	B:y:e,n,x	1,4,[5],12,[27]:y:e,n,x	I
Bareilly	O:7 (C1)	6,7,14	C1	y	1,5	C1:y:1,5	6,7,14:y:1,5	I
Benin	O:9,46 (D2)	9,46	D	y	1,7	D:y:1,7	9,46:y:1,7	I
Benue	O:8 (C2-C3)	6,8	C2-C3	y	l,w	C2-C3:y:l,w	6,8:y:l,w	I
Bietri	O:30 (N)	30	N	y	1,5	N:y:1,5	30:y:1,5	I
Blitta	O:47 (X)	47	X	y	e,n,x	X:y:e,n,x	47:y:e,n,x	I
Bolton	O:3,10 (E1)	3,10	E	y	e,n,z15	E:y:e,n,z15	3,10:y:e,n,z15	I
Brunei	O:8 (C2-C3)	8,20	C2-C3	y	1,5	C2-C3:y:1,5	8,20:y:1,5	I
Bulgaria	O:8 (C2-C3)	6,8	C2-C3	y	1,6	C2-C3:y:1,6	6,8:y:1,6	I
Cannonhill	O:1,3,19 (E4)	1,3,{10}{15},19	E	y	e,n,x	E:y:e,n,x	1,3,{10}{15},19:y:e,n,x	I
Carrau	O:6,14 (H)	6,14,[24]	H	y	1,7	H:y:1,7	6,14,[24]:y:1,7	I
Coeln	O:4 (B)	1,4,[5],12	B	y	1,2	B:y:1,2	1,4,[5],12:y:1,2	I
Colombo	O:38 (P)	38	P	y	1,6	P:y:1,6	38:y:1,6	I
Daarle	O:8 (C2-C3)	6,8	C2-C3	y	e,n,x	C2-C3:y:e,n,x	6,8:y:e,n,x	I
Delan	O:39 (Q)	39	Q	y	e,n,z15	Q:y:e,n,z15	39:y:e,n,z15	I
Dougi	O:50 (Z)	50	Z	y	1,6	Z:y:1,6	50:y:1,6	I
Farcha	O:43 (U)	43	U	y	1,2	U:y:1,2	43:y:1,2	I
Finaghy	O:4 (B)	4,12	B	y	1,6	B:y:1,6	4,12:y:1,6	I
Fischerkietz	O:6,14 (H)	1,6,14,25	H	y	e,n,x	H:y:e,n,x	1,6,14,25:y:e,n,x	I
Freetown	O:38 (P)	38	P	y	1,5	P:y:1,5	38:y:1,5	I
Gatineau	O:1,3,19 (E4)	1,3,19	E	y	1,5	E:y:1,5	1,3,19:y:1,5	I
Gatow	O:7 (C1)	6,7	C1	y	1,7	C1:y:1,7	6,7:y:1,7	I
Giza	O:8 (C2-C3)	8,20	C2-C3	y	1,2	C2-C3:y:1,2	8,20:y:1,2	I
Hadejia	O:17 (J)	17	J	y	e,n,z15	J:y:e,n,z15	17:y:e,n,z15	I
Hartford	O:7 (C1)	6,7	C1	y	e,n,x	C1:y:e,n,x	6,7:y:e,n,x	I
Harvestehude	O:42 (T)	1,42	T	y	z6	T:y:z6	1,42:y:z6	I
Herzliya	O:11 (F)	11	F	y	e,n,x	F:y:e,n,x	11:y:e,n,x	I
Ibaragi	O:21 (L)	21	L	y	1,2	L:y:1,2	21:y:1,2	I
II 6,8:y:1,6	O:8 (C2-C3)	6,8	C2-C3	y	1,6	C2-C3:y:1,6	6,8:y:1,6	II
II 1,9,12:y:z39	O:9 (D1)	1,9,12	D	y	z39	D:y:z39	1,9,12:y:z39	II
II 1,9,12,46,27:y:z39	O:9,46,27 (D3)	1,9,12,46,27	D	y	z39	D:y:z39	1,9,12,46,27:y:z39	II
II 17:y:-	O:17 (J)	17	J	y	-	J:y:-	17:y:-	II
II 18:y:e,n,x,z15	O:18 (K)	18	K	y	e,n,x,z15	K:y:e,n,x,z15	18:y:e,n,x,z15	II
Inchpark	O:8 (C2-C3)	6,8	C2-C3	y	1,7	C2-C3:y:1,7	6,8:y:1,7	I
Irchel	O:9,46 (D2)	9,46	D	y	e,n,x	D:y:e,n,x	9,46:y:e,n,x	I
Jalisco	O:11 (F)	11	F	y	1,7	F:y:1,7	11:y:1,7	I
Jos	O:4 (B)	1,4,12,27	B	y	e,n,z15	B:y:e,n,z15	1,4,12,27:y:e,n,z15	I
Kamoru	O:4 (B)	1,4,12,27	B	y	z6	B:y:z6	1,4,12,27:y:z6	I
Kikoma	O:16 (l)	16	I	y	e,n,x	I:y:e,n,x	16:y:e,n,x	I
Kingabwa	O:43 (U)	43	U	y	1,5	U:y:1,5	43:y:1,5	I
Kinson	O:1,3,19 (E4)	1,3,19	E	y	e,n,x	E:y:e,n,x	1,3,19:y:e,n,x	I
Kitenge	O:28 (M)	28	M	y	e,n,x	M:y:e,n,x	28:y:e,n,x	I
Kralingen	O:8 (C2-C3)	8,20	C2-C3	y	z6	C2-C3:y:z6	8,20:y:z6	I
Krefeld	O:1,3,19 (E4)	1,3,19	E	y	l,w	E:y:l,w	1,3,19:y:l,w	I
Lamphun	O:8 (C2-C3)	6,8	C2-C3	y	1,2	C2-C3:y:1,2	6,8:y:1,2	I
Langensalza	O:3,10 (E1)	3,10	E	y	l,w	E:y:l,w	3,10:y:l,w	I
Lokomo	O:17 (J)	17	J	y	l,w	J:y:l,w	17:y:l,w	I
Madelia	O:6,14 (H)	1,6,14,25	H	y	1,7	H:y:1,7	1,6,14,25:y:1,7	I
Matopeni	O:30 (N)	30	N	y	1,2	N:y:1,2	30:y:1,2	I
Mayday	O:9,46 (D2)	9,46	D	y	z6	D:y:z6	9,46:y:z6	I
Mikawasima	O:7 (C1)	6,7,14	C1	y	e,n,z15	C1:y:e,n,z15	6,7,14:y:e,n,z15	I
Mokola	O:3,10 (E1)	3,10	E	y	1,7	E:y:1,7	3,10:y:1,7	I
Mornington	O:6,14 (H)	1,6,14,25	H	y	e,n,z15	H:y:e,n,z15	1,6,14,25:y:e,n,z15	I
Moualine	O:47 (X)	47	X	y	1,6	X:y:1,6	47:y:1,6	I
Nantes	O:9,46 (D2)	9,46	D	y	l,w	D:y:l,w	9,46:y:l,w	I
Nijmegen	O:30 (N)	30	N	y	e,n,z15	N:y:e,n,z15	30:y:e,n,z15	I
Nima	O:28 (M)	28	M	y	1,5	M:y:1,5	28:y:1,5	I
Odienne	O:40 (R) 	40	R	y	1,5	R:y:1,5	40:y:1,5	I
Ohlstedt	O:3,10 (E1)	3,{10}{15}	E	y	e,n,x	E:y:e,n,x	3,{10}{15}:y:e,n,x	I
Ordonez	O:13 (G)	1,13,23	G	y	l,w	G:y:l,w	1,13,23:y:l,w	I
Orion	O:3,10 (E1)	3,{10}{15}{15,34}	E	y	1,5	E:y:1,5	3,{10}{15}{15,34}:y:1,5	I
Oskarshamn	O:28 (M)	28	M	y	1,2	M:y:1,2	28:y:1,2	I
Oyonnax	O:7 (C1)	6,7	C1	y	1,6	C1:y:1,6	6,7:y:1,6	I
Perth	O:38 (P)	38	P	y	e,n,x	P:y:e,n,x	38:y:e,n,x	I
Pomona	O:28 (M)	28	M	y	1,7	M:y:1,7	28:y:1,7	I
Powell	O:9 (D1)	9,12	D	y	1,7	D:y:1,7	9,12:y:1,7	I
Praha	O:8 (C2-C3)	6,8	C2-C3	y	e,n,z15	C2-C3:y:e,n,z15	6,8:y:e,n,z15	I
Richmond	O:7 (C1)	6,7	C1	y	1,2	C1:y:1,2	6,7:y:1,2	I
Ruiru	O:21 (L)	21	L	y	e,n,x	L:y:e,n,x	21:y:e,n,x	I
Saphra	O:16 (l)	16	I	y	1,5	I:y:1,5	16:y:1,5	I
Selby	O:28 (M)	28	M	y	z6	M:y:z6	28:y:z6	I
