Serovar	O	H1	H2
II	O	g,m,s,t	-
II	Y	g,m,t	-
II	-	g,t	-
II	-	g,t	-
II	-	g,t	-
II	E	g,t	-
II	N	g,t	-
II	P	g,t	-
II	S	g,t	-
II	T	g,t	-
II	A/D	g,z62	-
II	B	g,z62	-
II	J	k	-
II	-	l,z28	-
II	O	l,z28	-
II	C1	m,t	-
II	J	m,t	-
II	L	m,t	-
II	N	m,t	-
II	O	m,t	-
II	T	r	-
II	J	y	-
II	G	z	-
II	L	z	-
II	J	z10	-
II	T	z29	-
II	Y	z29	-
II	H	z36	-
II	K	z36	-
II	I	z4,z23	-
II	K	z4,z23	-
II	U	z4,z23	-
II	V	z4,z23	-
II	-	z4,z24	-
II	E	z4,z24	-
II	I	z4,z24	-
II	K	z4,z24	-
II	L	z4,z24	-
II	A/D	g,m,s,t	1,5,7
II	U	z42	1,5,7
II	-	b	1,5
II	G	b	1,5
II	P	d	1,5
II	I	g,m,s,t	1,5
II	R	g,m,s,t	1,5
II	Z	g,m,s,t	1,5
II	B	g,m,t	1,5
II	E	g,m,s,t	1,5
II	G	g,m,t	1,5
II	G	g,t	1,5
II	U	g,t	1,5
II	Y	z10	1,5
II	J	g,t	e,n,x,z15
II	T	m,t	e,n,x,z15
II	Q	g,m,t	e,n,x
II	C1	b	e,n,x
II	C2-C3	f,g,m,t	e,n,x
II	A/D	g,m,s,t	e,n,x
II	I	g,m,s,t	e,n,x
II	G	g,m,s,t	e,n,x
II	C1	g,t	e,n,x
II	A/D	g,z62	e,n,x
II	B	l,z28	e,n,x
II	M	m,t	e,n,x
II	E	z29	e,n,x
II	C1	g,m,s,t	z42
II	U	g,m,s,t	z42
II	I	m,t	z42
II	C1	z29	z42
II	C1	k	z6
II	T	l,z13,z28	z6
II	L	z10	z6
II	R	z42	1,5,7
II	I	e,n,x	1,5,7
II	U	e,n,x,z15	1,5,7
II	I	z42	1,5,7
II	G	z42	1,5,7
II	A/D	e,n,x	1,5,7
II	B	e,n,x	1,5,7
II	G	e,n,x	1,5,7
II	R	e,n,x	1,5,7
II	J	e,n,x,z15	1,5,7
II	B	z39	1,5,7
II	E	z39	1,5,7
II	A/D	z42	1,5,7
II	C1	z42	1,5,7
II	P	b	1,2
II	Y	d	1,2
II	S	z10	1,2
II	T	z10	1,2
II	B	e,n,x	1,2,7
II	F	-	1,5
II	C1	g,m,s,t	1,5
II	A/D	a	1,5
II	C1	a	1,5
II	G	a	1,5
II	U	a	1,5
II	X	a	1,5
II	58	b	1,5
II	B	b	1,5
II	C2-C3	b	1,5
II	L	b	1,5
II	S	b	1,5
II	T	b	1,5
II	X	b	1,5
II	-	c	1,5
II	-	d	1,5
II	-	d	1,5
II	G	d	1,5
II	I	d	1,5
II	O	d	1,5
II	X	d	1,5
II	M	g,m,s,t	1,5
II	G	g,m,s,t	1,5
II	W	g,m,s,t	1,5
II	G	g,t	1,5
II	O	g,t	1,5
II	G	k	1,5
II	Q	l,v	1,5
II	58	l,z13,z28	1,5
II	U	l,z13,z28	1,5
II	A/D	l,z28	1,5
II	C1	l,z28	1,5
II	E	l,z28	1,5
II	G	l,z28	1,5
II	G	l,z28	1,5
II	M	l,z28	1,5
II	R	l,z28	1,5
II	A/D	m,t	1,5
II	C2-C3	m,t	1,5
II	E	m,t	1,5
II	G	m,t	1,5
II	H	m,t	1,5
II	K	m,t	1,5
II	W	m,t	1,5
II	-	z	1,5
II	A/D	z	1,5
II	B	z	1,5
II	C1	z	1,5
II	C2-C3	z	1,5
II	E	z	1,5
II	G	z	1,5
II	M	z	1,5
II	R	z	1,5
II	S	z	1,5
II	T	z	1,5
II	U	z	1,5
II	W	z	1,5
II	Y	z	1,5
II	A/D	z10	1,5
II	H	z10	1,5
II	A/D	z29	1,5
II	C2-C3	z29	1,5
II	G	z29	1,5
II	G	z29	1,5
II	I	z29	1,5
II	M	z29	1,5
II	W	z29	1,5
II	R	z39	1,5
II	A/D	z4,z24	1,5
II	R	z6	1,5
II	C1	g,m,s,t	1,5
II	C1	-	1,5
II	A/D	e,n,x	1,5,7
II	C1	l,w	1,5,7
II	-	z39	1,5,7
II	C1	z39	1,5,7
II	G	z39	1,5,7
II	-	z44	1,5,7
II	G	z42	1,5,7
II	R	z42	1,5,7
II	R	-	1,5,7
II	-	-	1,6
II	C1	-	1,6
II	G	-	1,6
II	S	-	1,6
II	A/D	e,n,x	1,6
II	C1	e,n,x	1,6
II	I	e,n,x	1,6
II	T	e,n,x	1,6
II	V	e,n,x	1,6
II	J	e,n,x,z15	1,6
II	R	e,n,x,z15	1,6
II	U	e,n,x,z15	1,6
II	X	e,n,x,z15	1,6
II	B	k	1,6
II	H	k	1,6
II	S	k	1,6
II	C2-C3	y	1,6
II	58	z10	1,6
II	Y	z10	1,6
II	R	z39	1,6
II	-	z42	1,6
II	H	z42	1,6
II	I	z42	1,6
II	R	z42	1,6
II	58	z6	1,6
II	I	z6	1,6
II	N	z6	1,6
II	T	z6	1,6
II	X	z6	1,6
II	-	-	1,7
II	Q	-	1,7
II	-	e,n,x	1,7
II	E	e,n,x	1,7
II	M	e,n,x	1,7
II	Q	e,n,x	1,7
II	Z	e,n,x	1,7
II	C2-C3	g,m,t	1,7
II	A/D	z	1,7
II	B	z	1,7
II	J	z	1,7
II	A/D	z39	1,7
II	A/D	z39	1,7
II	G	z39	1,7
II	N	z39	1,7
II	R	z39	1,7
II	Z	z42	1,7
II	C1	z6	1,7
II	X	g,t	e,n,x
II	A/D	a	e,n,x
II	B	a	e,n,x
II	C2-C3	a	e,n,x
II	E	a	e,n,x
II	G	a	e,n,x
II	M	a	e,n,x
II	A/D	b	e,n,x
II	A/D	b	e,n,x
II	E	b	e,n,x
II	I	b	e,n,x
II	M	b	e,n,x
II	L	c	e,n,x
II	Q	c	e,n,x
II	A/D	d	e,n,x
II	B	d	e,n,x
II	E	d	e,n,x
II	G	d	e,n,x
II	I	d	e,n,x
II	R	g,m,s,t	e,n,x
II	B	g,m,s,t	e,n,x
II	C1	g,m,s,t	e,n,x
II	N	g,m,s	e,n,x
II	A/D	g,m,s,t	e,n,x
II	W	g,m,s,t	e,n,x
II	M	g,m,t	e,n,x
II	-	g,s,t	e,n,x
II	A/D	g,s,t	e,n,x
II	M	g,s,t	e,n,x
II	A/D	g,t	e,n,x
II	G	g,t	e,n,x
II	U	g,z62	e,n,x
II	Z	g,z62	e,n,x
II	H	k	e,n,x
II	Z	k	e,n,x
II	A/D	l,v	e,n,x
II	B	l,v	e,n,x
II	C2-C3	l,v	e,n,x
II	E	l,v	e,n,x
II	R	l,v	e,n,x
II	A/D	l,w	e,n,x
II	B	l,w	e,n,x
II	G	l,w	e,n,x
II	T	l,w	e,n,x
II	-	l,z28	e,n,x
II	A/D	l,z28	e,n,x
II	C1	l,z28	e,n,x
II	C2-C3	l,z28	e,n,x
II	E	l,z28	e,n,x
II	F	l,z28	e,n,x
II	M	l,z28	e,n,x
II	Q	l,z28	e,n,x
II	R	l,z28	e,n,x
II	A/D	m,t	e,n,x
II	A/D	m,t	e,n,x
II	C2-C3	m,t	e,n,x
II	E	m,t	e,n,x
II	F	m,t	e,n,x
